72	a	252	b	t	7
87	a	270	b	t	8
153	a	239	b	t	105
76	a	115	b	t	7
220	a	295	b	t	202
263	a	265	b	t	206
223	a	263	b	t	202
62	a	153	b	t	6
176	a	257	b	t	107
87	a	96	b	t	8
144	a	269	b	t	104
176	a	299	b	t	107
169	a	215	b	t	106
81	a	218	b	t	8
67	a	214	b	t	6
28	a	274	b	t	2
37	a	221	b	t	3
7	a	268	b	t	0
26	a	215	b	t	2
98	a	153	b	t	9
59	a	153	b	t	5
153	a	306	b	t	105
152	a	153	b	t	105
18	a	28	b	t	1
72	a	220	b	t	7
143	a	220	b	t	104
162	a	220	b	t	106
220	a	264	b	t	202
85	a	220	b	t	8
175	a	220	b	t	107
32	a	220	b	t	3
80	a	220	b	t	8
220	a	270	b	t	202
23	a	220	b	t	2
220	a	254	b	t	202
136	a	220	b	t	103
31	a	220	b	t	3
87	a	220	b	t	8
15	a	220	b	t	1
94	a	220	b	t	9
176	a	284	b	t	107
87	a	143	b	t	8
7	a	137	b	t	0
113	a	268	b	t	101
243	a	261	b	t	204
113	a	288	b	t	101
218	a	288	b	t	201
81	a	288	b	t	8
242	a	288	b	t	204
288	a	290	b	t	208
103	a	288	b	t	100
97	a	288	b	t	9
268	a	288	b	t	206
288	a	293	b	t	208
112	a	268	b	t	101
126	a	273	b	t	102
58	a	220	b	t	5
75	a	87	b	t	7
87	a	160	b	t	8
72	a	87	b	t	7
87	a	248	b	t	8
87	a	90	b	t	8
87	a	264	b	t	8
87	a	94	b	t	8
85	a	87	b	t	8
47	a	87	b	t	4
87	a	178	b	t	8
73	a	87	b	t	7
87	a	175	b	t	8
87	a	95	b	t	8
32	a	87	b	t	3
38	a	87	b	t	3
80	a	87	b	t	8
87	a	252	b	t	8
23	a	87	b	t	2
87	a	191	b	t	8
87	a	254	b	t	8
42	a	87	b	t	4
87	a	136	b	t	8
87	a	295	b	t	8
87	a	289	b	t	8
87	a	211	b	t	8
15	a	87	b	t	1
51	a	81	b	t	5
81	a	151	b	t	8
77	a	272	b	t	7
85	a	248	b	t	8
94	a	295	b	t	9
58	a	295	b	t	5
78	a	280	b	t	7
220	a	259	b	t	202
90	a	259	b	t	9
259	a	264	b	t	205
73	a	259	b	t	7
32	a	259	b	t	3
259	a	289	b	t	205
26	a	121	b	t	2
26	a	167	b	t	2
26	a	269	b	t	2
26	a	79	b	t	2
4	a	26	b	t	0
26	a	145	b	t	2
26	a	199	b	t	2
9	a	26	b	t	0
18	a	26	b	t	1
26	a	116	b	t	2
26	a	63	b	t	2
26	a	29	b	t	2
26	a	183	b	t	2
26	a	52	b	t	2
26	a	296	b	t	2
26	a	287	b	t	2
12	a	26	b	t	1
26	a	274	b	t	2
26	a	173	b	t	2
26	a	67	b	t	2
26	a	214	b	t	2
26	a	246	b	t	2
80	a	85	b	t	8
21	a	138	b	t	2
4	a	28	b	t	0
103	a	242	b	t	100
107	a	154	b	t	100
126	a	230	b	t	102
6	a	126	b	t	0
126	a	176	b	t	102
126	a	228	b	t	102
69	a	126	b	t	6
126	a	251	b	t	102
107	a	126	b	t	100
37	a	126	b	t	3
126	a	194	b	t	102
126	a	300	b	t	102
16	a	126	b	t	1
105	a	126	b	t	100
2	a	126	b	t	0
126	a	247	b	t	102
126	a	127	b	t	102
126	a	128	b	t	102
76	a	126	b	t	7
126	a	256	b	t	102
27	a	126	b	t	2
3	a	126	b	t	0
49	a	126	b	t	4
126	a	284	b	t	102
82	a	126	b	t	8
126	a	209	b	t	102
126	a	303	b	t	102
17	a	126	b	t	1
126	a	154	b	t	102
126	a	138	b	t	102
126	a	257	b	t	102
77	a	126	b	t	7
115	a	126	b	t	101
126	a	299	b	t	102
126	a	272	b	t	102
151	a	155	b	t	105
25	a	151	b	t	2
151	a	193	b	t	105
97	a	151	b	t	9
44	a	151	b	t	4
151	a	304	b	t	105
176	a	230	b	t	107
154	a	176	b	t	105
77	a	176	b	t	7
76	a	228	b	t	7
166	a	232	b	t	106
76	a	154	b	t	7
0	a	101	b	t	0
18	a	199	b	t	1
18	a	296	b	t	1
91	a	242	b	t	9
129	a	266	b	t	102
214	a	215	b	t	201
111	a	166	b	t	101
111	a	243	b	t	101
49	a	257	b	t	4
77	a	257	b	t	7
0	a	249	b	t	0
284	a	299	b	t	208
220	a	248	b	t	202
56	a	124	b	t	5
264	a	295	b	t	206
13	a	268	b	t	1
80	a	222	b	t	8
232	a	243	b	t	203
288	a	294	b	t	208
28	a	296	b	t	2
3	a	230	b	t	0
3	a	6	b	t	0
3	a	176	b	t	0
3	a	69	b	t	0
3	a	107	b	t	0
3	a	37	b	t	0
3	a	16	b	t	0
3	a	247	b	t	0
3	a	128	b	t	0
3	a	76	b	t	0
3	a	27	b	t	0
3	a	49	b	t	0
3	a	273	b	t	0
3	a	284	b	t	0
3	a	82	b	t	0
